id,N,time_steps,train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,distribution
109,300,3000,0 days 00:00:06.868569000,ACER,1,1,-7.2394239999992385,-8.920779333333385,6.3689,7.7275,261.1572,357.9838,uniform
110,300,3000,0 days 00:00:06.893459000,ACER,1,1,-7.229268666665886,-11.351892666666751,6.3583,10.7084,261.2906,193.8189,uniform
111,300,3000,0 days 00:00:06.932587000,ACER,1,1,-7.217012333332549,-8.002514333333444,6.3474,7.2266,260.8837,232.7743,uniform
112,300,3000,0 days 00:00:07.172854000,ACER,1,1,-7.245458333332548,-8.986526999999981,6.3755,7.5997,260.9875,416.0481,uniform
113,300,3000,0 days 00:00:06.906263000,ACER,1,1,-7.248462666665874,-10.381560666666942,6.377999999999999,8.8657,261.1388,454.7582,uniform
114,300,3000,0 days 00:00:06.923057000,ACER,1,1,-7.2532173333325565,-9.432964999999877,6.3827,7.6641,261.1552,531.3735,uniform
115,300,3000,0 days 00:00:06.906732000,ACER,1,1,-7.239953666665894,-10.138250333333419,6.37,9.5372,260.9861,180.8756,uniform
116,300,3000,0 days 00:00:06.896686000,ACER,1,1,-7.227891999999233,-8.965157666666704,6.358,7.6656,260.9676,389.8673,uniform
117,300,3000,0 days 00:00:07.047933000,ACER,1,1,-7.224949333332568,-8.148697999999781,6.3538,7.2019,261.3448,284.0394,uniform
118,300,3000,0 days 00:00:06.991968000,ACER,1,1,-7.215111999999197,-8.746641000000103,6.3458,7.5088,260.7936,371.3523,uniform
119,300,3000,0 days 00:00:06.838886000,ACER,1,1,-7.210524666665906,-11.505265666666768,6.3404,9.5754,261.0374,579.4882,uniform
120,300,3000,0 days 00:00:06.932277000,ACER,1,1,-7.2409176666659025,-7.922563666666713,6.3706,6.8805,261.0953,312.6191,uniform
121,300,3000,0 days 00:00:07.127890000,ACER,1,1,-7.215366999999231,-9.935352666666859,6.3462,8.6006,260.7501,401.1264,uniform
